sku,product_name_en,product_name_cn,category,list_price_usd,product_image,image_note,active
SKU001,2-Person Pop-Up Camping Tent,双人速开露营帐篷,Tents,38.99,/assets/products/placeholder_001.png,占位图路径，后续可替换为真实商品图,Y
SKU002,Lightweight Hiking Backpack 45L,45L轻量徒步背包,Backpacks,34.99,/assets/products/placeholder_002.png,占位图路径，后续可替换为真实商品图,Y
SKU003,Portable Folding Camping Chair,便携折叠露营椅,Chairs,36.99,/assets/products/placeholder_003.png,占位图路径，后续可替换为真实商品图,Y
SKU004,Waterproof Outdoor Tarp,防水户外天幕,Shelter,32.99,/assets/products/placeholder_004.png,占位图路径，后续可替换为真实商品图,Y
SKU005,Rechargeable LED Camping Lantern,充电式LED露营灯,Lighting,258.99,/assets/products/placeholder_005.png,占位图路径，后续可替换为真实商品图,Y
SKU006,Inflatable Sleeping Pad,充气睡垫,Sleeping,35.99,/assets/products/placeholder_006.png,占位图路径，后续可替换为真实商品图,Y
SKU007,Insulated Outdoor Cooler Bag,保温户外冷藏包,Coolers,37.99,/assets/products/placeholder_007.png,占位图路径，后续可替换为真实商品图,Y
SKU008,Carbon Fiber Trekking Poles,碳纤维登山杖,Trekking,289.99,/assets/products/placeholder_008.png,占位图路径，后续可替换为真实商品图,Y
SKU009,All-Season Sleeping Bag,全季节睡袋,Sleeping,39.99,/assets/products/placeholder_009.png,占位图路径，后续可替换为真实商品图,Y
SKU010,Compact Camping Cookware Set,便携露营炊具套装,Cooking,268.99,/assets/products/placeholder_010.png,占位图路径，后续可替换为真实商品图,Y
SKU011,Waterproof Hiking Rain Jacket,防水徒步冲锋衣,Apparel,68.99,/assets/products/placeholder_011.png,占位图路径，后续可替换为真实商品图,Y
SKU012,6-Inch Twin Camping Mattress,6英寸单人露营床垫,Mattress,33.99,/assets/products/placeholder_012.png,占位图路径，后续可替换为真实商品图,Y
SKU013,Family Outdoor Canopy Tent,家庭户外遮阳篷,Tents,279.99,/assets/products/placeholder_013.png,占位图路径，后续可替换为真实商品图,Y
SKU014,Portable Power Station Mini,迷你户外电源,Power,31.99,/assets/products/placeholder_014.png,占位图路径，后续可替换为真实商品图,Y
SKU015,Premium Fishing Rod Kit,高端钓竿套装,Fishing,76.99,/assets/products/placeholder_015.png,占位图路径，后续可替换为真实商品图,Y
