order_item_id,order_id,sku,product_name_en,product_name_cn,product_image,category,quantity,unit_price_usd,item_sales_amount_usd,store_id,store_name,platform,country_code,country_name_cn
DEMO2025092900001-1,DEMO2025092900001,SKU003,Portable Folding Camping Chair,便携折叠露营椅,/assets/products/placeholder_003.png,Chairs,1,36.99,36.99,ST007,YIHRA,tiktok,RU,俄罗斯
DEMO2025092900002-1,DEMO2025092900002,SKU002,Lightweight Hiking Backpack 45L,45L轻量徒步背包,/assets/products/placeholder_002.png,Backpacks,1,34.99,34.99,ST001,YHR C,ozon,RU,俄罗斯
DEMO2025092900003-1,DEMO2025092900003,SKU001,2-Person Pop-Up Camping Tent,双人速开露营帐篷,/assets/products/placeholder_001.png,Tents,1,38.99,38.99,ST005,Xing Fan Go,AliExpress,VN,越南
DEMO2025092900004-1,DEMO2025092900004,SKU007,Insulated Outdoor Cooler Bag,保温户外冷藏包,/assets/products/placeholder_007.png,Coolers,1,37.99,37.99,ST001,YHR C,mercado,US,美国
DEMO2025092900005-1,DEMO2025092900005,SKU003,Portable Folding Camping Chair,便携折叠露营椅,/assets/products/placeholder_003.png,Chairs,1,36.99,36.99,ST003,Coco Sports and Outdoors,AliExpress,PH,菲律宾
DEMO2025092900006-1,DEMO2025092900006,SKU006,Inflatable Sleeping Pad,充气睡垫,/assets/products/placeholder_006.png,Sleeping,1,35.99,35.99,ST004,Outdoor equipment shop,tiktok,TH,泰国
DEMO2025092900007-1,DEMO2025092900007,SKU011,Waterproof Hiking Rain Jacket,防水徒步冲锋衣,/assets/products/placeholder_011.png,Apparel,1,68.99,68.99,ST004,Outdoor equipment shop,tiktok,GB,英国
DEMO2025092900008-1,DEMO2025092900008,SKU004,Waterproof Outdoor Tarp,防水户外天幕,/assets/products/placeholder_004.png,Shelter,2,32.99,65.98,ST001,YHR C,AliExpress,US,美国
DEMO2025092900009-1,DEMO2025092900009,SKU014,Portable Power Station Mini,迷你户外电源,/assets/products/placeholder_014.png,Power,2,31.99,63.98,ST002,Camplab Outdoor Peak,AliExpress,FR,法国
DEMO2025092900010-1,DEMO2025092900010,SKU006,Inflatable Sleeping Pad,充气睡垫,/assets/products/placeholder_006.png,Sleeping,1,35.99,35.99,ST003,Coco Sports and Outdoors,tiktok,RU,俄罗斯
DEMO2025092900011-1,DEMO2025092900011,SKU014,Portable Power Station Mini,迷你户外电源,/assets/products/placeholder_014.png,Power,1,31.99,31.99,ST004,Outdoor equipment shop,temu,GB,英国
DEMO2025092900012-1,DEMO2025092900012,SKU011,Waterproof Hiking Rain Jacket,防水徒步冲锋衣,/assets/products/placeholder_011.png,Apparel,1,68.99,68.99,ST007,YIHRA,tiktok,FR,法国
DEMO2025092900013-1,DEMO2025092900013,SKU003,Portable Folding Camping Chair,便携折叠露营椅,/assets/products/placeholder_003.png,Chairs,1,36.99,36.99,ST005,Xing Fan Go,AliExpress,RU,俄罗斯
DEMO2025092900014-1,DEMO2025092900014,SKU006,Inflatable Sleeping Pad,充气睡垫,/assets/products/placeholder_006.png,Sleeping,1,35.99,35.99,ST007,YIHRA,tiktok,GB,英国
